admin3Pcod,admin3Name,admin2Pcod,admin1Pcod,admin0Pcod,area,agg_level,agg_title,year,flood_pop,flood_pop_s,wrsi_75,wrsi_90,wrsi_75_long,wrsi_90_long,pop_wp,pop_dens_wp,city_mtr,conf_count,conf_pop_buffer,conf_share,pov_2021_22_std,number_poor_2021_22_std,ipc_p_2019_2023_std,pti_need,pti_access
NER005004001,Allakaye,NER005004,NER005,NE,462.93532959870146,admin3,Commune,NA,-0.7646658172627356,-0.9090316762586458,NA,NA,NA,-0.587734612428191,0.37128578470727075,0.7033645405443375,-0.2457443165463314,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.032238215885344965,-0.7280679443358916,0.6365755459735517
NER005004002,Babankatami,NER005004,NER005,NE,853.150232547304,admin3,Commune,NA,-0.4697117849598854,-0.5691538079194473,NA,-0.13736667687737403,-0.26333589651341377,0.49045440071593877,0.008330032873782393,0.4348289839735422,0.7795803497700204,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.032238215885344965,-0.06000640673442264,0.008093139606542111
NER005004003,Bouza,NER005004,NER005,NE,656.4666657110166,admin3,Commune,NA,0.15446974609773326,-0.30199299705175486,NA,NA,NA,-0.587734612428191,0.9060247705797796,0.8879678527330507,-0.09535452094246308,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.032238215885344965,-0.44208764347002716,0.653194492018233
NER005004004,Déoulé,NER005004,NER005,NE,286.8649757565613,admin3,Commune,NA,-0.7859936313745486,-0.6355674028927827,NA,NA,NA,-0.587734612428191,-1.1189311102779147,0.18053826004962958,-0.010309099543357923,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.032238215885344965,-0.5992369524204975,0.26825599941588546
NER005004005,Karofane,NER005004,NER005,NE,697.5415122462861,admin3,Commune,NA,0.26100084611764157,0.016349150013184804,NA,NA,NA,-0.587734612428191,0.3089040129865296,0.10684514170386583,0.06738093314902162,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.032238215885344965,-0.29211436151234055,0.1947228268483173
NER005004006,Tabotaki,NER005004,NER005,NE,329.8595588010517,admin3,Commune,NA,-0.8791338727588155,-0.992380631439473,NA,NA,NA,-0.587734612428191,-0.4826710125732505,0.8353304219894707,0.0811319065394834,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.032238215885344965,-0.767334238389198,0.5418993836081862
NER005004007,Tama,NER005004,NER005,NE,338.7863506455589,admin3,Commune,NA,-0.3524418251013018,-0.2978380333596913,NA,NA,NA,-0.587734612428191,-0.323017342832094,0.7056232883560203,-0.39871210635187304,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.032238215885344965,-0.4401302101013734,0.7119756132822145
NER005005001,Badaguichiri,NER005005,NER005,NE,1035.6773270164888,admin3,Commune,NA,-0.3874889198673026,-0.717986268571011,NA,NA,NA,-0.587734612428191,1.2567268106272693,0.24109157621844107,-0.647750677184503,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.5060291344975165,-0.861271394218717,0.6073015181927843
NER005005002,Illéla,NER005005,NER005,NE,1958.480070500966,admin3,Commune,NA,0.3545792266021442,-0.4123458245239292,NA,NA,NA,-0.587734612428191,1.9295571048531783,0.519349624199918,-0.5734979798093635,-0.21456582229762963,NA,NA,0.08273959009256064,0.5592008771364967,-0.5060291344975165,-0.7172819761810392,0.6350657681154894
NER005005003,Tajaé,NER005005,NER005,NE,624.3177851440034,admin3,Commune,NA,-0.3966771020151195,-0.5811324310827142,NA,NA,NA,-0.587734612428191,0.33760364893785766,0.39357920487999515,-0.7434039265574752,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.5060291344975165,-0.7967985641336799,0.727833994102096
